scan_protocol,scan_count,first_scan,last_scan
808689 - AGGY,49,2009-10-28,2012-05-25
810336 - Big GO,589,2009-12-05,2013-08-30
808799 - DAY2,58,2010-03-26,2013-05-29
810211 - FNDM,154,2011-04-12,2013-10-04
810336 - Go2 Supplement,457,2012-04-02,2013-08-31
815814 - Conte,162,2012-12-20,2017-04-29
816281 - NODRA,63,2013-02-20,2015-12-21
816275 - ONM,97,2013-05-20,2017-02-24
818028 - Effort,27,2014-07-22,2018-03-22
810336 - Go3,381,2014-10-11,2016-09-01
818621 - SYRP,58,2014-12-12,2017-12-14
822831 - GRMPY,185,2015-11-09,2019-05-15
810336 - GO3 FOLLOW UP,25,2016-04-16,2016-07-30
829502 - MOTIVE,34,2018-05-29,2019-10-02
