scan_protocol,scan_count,first_scan,last_scan
700205 - Worden,132,2003-05-23,2005-12-15
704060 - Conte II,189,2003-10-07,2011-07-19
346200 - Affect,143,2003-11-13,2006-10-19
704723 - Olf fMRI,65,2003-11-24,2006-04-08
802178 - ,10,2005-01-13,2005-02-08
500600 - Olf ERP,15,2006-03-21,2007-03-27
804847 - Affect II,172,2007-01-24,2011-10-19
805556 - Alpraz,99,2007-07-05,2009-06-17
807017 - Affect Prosody,47,2007-11-21,2009-09-09
808922 - MGI2_PENN,58,2009-02-13,2013-03-01
808689 - AGGY,53,2009-04-23,2012-10-15
807360 - Olf Lifespan,102,2009-06-03,2013-06-26
806349 - NAYA Imaging,1,2009-07-17,2009-07-17
808799 - DAY2,101,2009-10-13,2013-05-29
810336 - Big GO,610,2009-12-05,2013-08-31
810211 - FNDM,163,2011-03-11,2013-10-04
812481 - 22q,2,2011-03-21,2014-06-14
B10218 - MGI2_PITT,6,2011-08-05,2013-10-24
810336 - Go2 Supplement,467,2012-04-02,2013-08-31
815814 - Conte,165,2012-12-20,2017-04-29
816281 - NODRA,70,2013-02-20,2015-12-21
816275 - ONM,206,2013-05-20,2017-02-26
817163 - SMS,6,2013-05-30,2017-01-27
818028 - Effort,81,2013-09-16,2018-03-23
817628 - EFDO,10,2014-01-30,2014-07-31
810336 - Go3,391,2014-10-11,2016-09-01
818621 - SYRP,75,2014-12-12,2018-06-01
822831 - GRMPY,190,2015-11-09,2019-06-20
810336 - GO3 FOLLOW UP,29,2016-04-16,2016-07-30
820690 - phASL,119,2016-07-28,2018-06-14
822937 - HARMONY,16,2017-12-09,2017-12-17
826854 - Estrogen_Extinction,74,2018-01-24,2019-03-08
825834 - satterttPiloting,32,2018-01-31,2019-07-30
825940 - GluCEST in Psychosis,19,2018-02-01,2019-05-24
828612 - URF,14,2018-05-04,2018-12-03
829502 - MOTIVE,145,2018-05-29,2021-06-28
829744 - EFR01,47,2019-01-09,2021-06-05
833922 - EvolPsy,84,2020-02-14,2021-07-12
834246 - 22qmidline,24,2020-10-06,2021-07-08
843329 - LongGluCEST,11,2021-03-23,2021-07-12
842909 - TRANSCENDS_D1,10,2021-05-24,2021-08-09
843818 - 7t_glucest_age,4,2021-06-08,2021-07-08
